id_user,id_makanan,rekomendasi
1,1,allowed
1,2,allowed
1,3,allowed
1,4,allowed
1,5,allowed
1,6,allowed
1,7,allowed
1,8,allowed
1,9,allowed
1,10,allowed
1,11,allowed
1,12,not allowed
1,13,allowed
1,14,allowed
1,15,allowed
1,16,allowed
1,17,allowed
1,18,allowed
1,19,not allowed
1,20,allowed
1,21,allowed
1,22,allowed
1,23,allowed
1,24,allowed
1,25,allowed
1,26,allowed
1,27,allowed
1,28,allowed
1,29,allowed
1,30,allowed
1,31,allowed
1,32,allowed
1,33,allowed
1,34,allowed
1,35,allowed
1,36,allowed
1,37,allowed
1,38,allowed
1,39,allowed
1,40,allowed
1,41,allowed
1,42,allowed
1,43,allowed
1,44,allowed
1,45,allowed
1,46,not allowed
1,47,allowed
1,48,allowed
1,49,allowed
1,50,allowed
1,51,allowed
1,52,allowed
1,53,not allowed
1,54,allowed
1,55,allowed
1,56,not allowed
1,57,not allowed
1,58,allowed
1,59,not allowed
1,60,allowed
1,61,not allowed
1,62,allowed
1,63,allowed
1,64,allowed
1,65,allowed
1,66,allowed
1,67,allowed
1,68,allowed
1,69,allowed
1,70,allowed
1,71,allowed
1,72,allowed
1,73,allowed
1,74,allowed
1,75,allowed
1,76,allowed
1,77,not allowed
1,78,not allowed
1,79,not allowed
1,80,allowed
1,81,not allowed
1,82,allowed
1,83,allowed
1,84,allowed
1,85,allowed
1,86,allowed
1,87,not allowed
1,88,allowed
1,89,allowed
1,90,allowed
1,91,allowed
1,92,allowed
1,93,not allowed
1,94,not allowed
1,95,not allowed
1,96,allowed
1,97,not allowed
1,98,not allowed
1,99,allowed
1,100,not allowed
2,1,allowed
2,2,allowed
2,3,allowed
2,4,allowed
2,5,allowed
2,6,allowed
2,7,allowed
2,8,allowed
2,9,allowed
2,10,allowed
2,11,allowed
2,12,not allowed
2,13,allowed
2,14,allowed
2,15,allowed
2,16,allowed
2,17,allowed
2,18,allowed
2,19,not allowed
2,20,allowed
2,21,allowed
2,22,allowed
2,23,allowed
2,24,allowed
2,25,allowed
2,26,allowed
2,27,allowed
2,28,allowed
2,29,allowed
2,30,allowed
2,31,allowed
2,32,allowed
2,33,allowed
2,34,allowed
2,35,allowed
2,36,allowed
2,37,allowed
2,38,allowed
2,39,allowed
2,40,allowed
2,41,allowed
2,42,allowed
2,43,allowed
2,44,allowed
2,45,allowed
2,46,not allowed
2,47,allowed
2,48,allowed
2,49,allowed
2,50,allowed
2,51,allowed
2,52,allowed
2,53,not allowed
2,54,allowed
2,55,allowed
2,56,not allowed
2,57,not allowed
2,58,allowed
2,59,not allowed
2,60,allowed
2,61,not allowed
2,62,allowed
2,63,allowed
2,64,allowed
2,65,allowed
2,66,allowed
2,67,allowed
2,68,allowed
2,69,allowed
2,70,allowed
2,71,allowed
2,72,allowed
2,73,allowed
2,74,allowed
2,75,allowed
2,76,allowed
2,77,not allowed
2,78,not allowed
2,79,not allowed
2,80,allowed
2,81,not allowed
2,82,allowed
2,83,allowed
2,84,allowed
2,85,allowed
2,86,allowed
2,87,not allowed
2,88,allowed
2,89,allowed
2,90,allowed
2,91,allowed
2,92,allowed
2,93,not allowed
2,94,not allowed
2,95,not allowed
2,96,allowed
2,97,not allowed
2,98,not allowed
2,99,allowed
2,100,not allowed
3,1,allowed
3,2,allowed
3,3,allowed
3,4,allowed
3,5,allowed
3,6,allowed
3,7,allowed
3,8,allowed
3,9,allowed
3,10,allowed
3,11,allowed
3,12,not allowed
3,13,allowed
3,14,allowed
3,15,allowed
3,16,allowed
3,17,allowed
3,18,allowed
3,19,not allowed
3,20,allowed
3,21,allowed
3,22,allowed
3,23,allowed
3,24,allowed
3,25,allowed
3,26,allowed
3,27,allowed
3,28,allowed
3,29,allowed
3,30,allowed
3,31,allowed
3,32,allowed
3,33,allowed
3,34,allowed
3,35,allowed
3,36,allowed
3,37,allowed
3,38,allowed
3,39,allowed
3,40,allowed
3,41,allowed
3,42,allowed
3,43,allowed
3,44,allowed
3,45,allowed
3,46,not allowed
3,47,allowed
3,48,allowed
3,49,allowed
3,50,allowed
3,51,allowed
3,52,allowed
3,53,not allowed
3,54,allowed
3,55,allowed
3,56,not allowed
3,57,not allowed
3,58,allowed
3,59,not allowed
3,60,allowed
3,61,not allowed
3,62,allowed
3,63,allowed
3,64,allowed
3,65,allowed
3,66,allowed
3,67,allowed
3,68,allowed
3,69,allowed
3,70,allowed
3,71,allowed
3,72,allowed
3,73,allowed
3,74,allowed
3,75,allowed
3,76,allowed
3,77,not allowed
3,78,not allowed
3,79,not allowed
3,80,allowed
3,81,not allowed
3,82,allowed
3,83,allowed
3,84,allowed
3,85,allowed
3,86,allowed
3,87,not allowed
3,88,allowed
3,89,allowed
3,90,allowed
3,91,allowed
3,92,allowed
3,93,not allowed
3,94,not allowed
3,95,not allowed
3,96,allowed
3,97,not allowed
3,98,not allowed
3,99,allowed
3,100,not allowed
4,1,allowed
4,2,allowed
4,3,allowed
4,4,allowed
4,5,allowed
4,6,allowed
4,7,allowed
4,8,allowed
4,9,allowed
4,10,allowed
4,11,allowed
4,12,not allowed
4,13,allowed
4,14,allowed
4,15,allowed
4,16,allowed
4,17,allowed
4,18,allowed
4,19,not allowed
4,20,allowed
4,21,allowed
4,22,allowed
4,23,allowed
4,24,allowed
4,25,allowed
4,26,allowed
4,27,allowed
4,28,allowed
4,29,allowed
4,30,allowed
4,31,allowed
4,32,allowed
4,33,allowed
4,34,allowed
4,35,allowed
4,36,allowed
4,37,allowed
4,38,allowed
4,39,allowed
4,40,allowed
4,41,allowed
4,42,allowed
4,43,allowed
4,44,allowed
4,45,allowed
4,46,not allowed
4,47,allowed
4,48,allowed
4,49,allowed
4,50,allowed
4,51,allowed
4,52,allowed
4,53,not allowed
4,54,allowed
4,55,allowed
4,56,not allowed
4,57,not allowed
4,58,allowed
4,59,not allowed
4,60,allowed
4,61,not allowed
4,62,allowed
4,63,allowed
4,64,allowed
4,65,allowed
4,66,allowed
4,67,allowed
4,68,allowed
4,69,allowed
4,70,allowed
4,71,allowed
4,72,allowed
4,73,allowed
4,74,allowed
4,75,allowed
4,76,allowed
4,77,not allowed
4,78,not allowed
4,79,not allowed
4,80,allowed
4,81,not allowed
4,82,allowed
4,83,allowed
4,84,allowed
4,85,allowed
4,86,allowed
4,87,not allowed
4,88,allowed
4,89,allowed
4,90,allowed
4,91,allowed
4,92,allowed
4,93,not allowed
4,94,not allowed
4,95,not allowed
4,96,allowed
4,97,not allowed
4,98,not allowed
4,99,allowed
4,100,not allowed
5,1,allowed
5,2,allowed
5,3,allowed
5,4,allowed
5,5,allowed
5,6,allowed
5,7,allowed
5,8,allowed
5,9,allowed
5,10,allowed
5,11,allowed
5,12,not allowed
5,13,allowed
5,14,allowed
5,15,allowed
5,16,allowed
5,17,allowed
5,18,allowed
5,19,not allowed
5,20,allowed
5,21,allowed
5,22,allowed
5,23,allowed
5,24,allowed
5,25,allowed
5,26,allowed
5,27,allowed
5,28,allowed
5,29,allowed
5,30,allowed
5,31,allowed
5,32,allowed
5,33,allowed
5,34,allowed
5,35,allowed
5,36,allowed
5,37,allowed
5,38,allowed
5,39,allowed
5,40,allowed
5,41,allowed
5,42,allowed
5,43,allowed
5,44,allowed
5,45,allowed
5,46,not allowed
5,47,allowed
5,48,allowed
5,49,allowed
5,50,allowed
5,51,allowed
5,52,allowed
5,53,not allowed
5,54,allowed
5,55,allowed
5,56,not allowed
5,57,not allowed
5,58,allowed
5,59,not allowed
5,60,allowed
5,61,not allowed
5,62,allowed
5,63,allowed
5,64,allowed
5,65,allowed
5,66,allowed
5,67,allowed
5,68,allowed
5,69,allowed
5,70,allowed
5,71,allowed
5,72,allowed
5,73,allowed
5,74,allowed
5,75,allowed
5,76,allowed
5,77,not allowed
5,78,not allowed
5,79,not allowed
5,80,allowed
5,81,not allowed
5,82,allowed
5,83,allowed
5,84,allowed
5,85,allowed
5,86,allowed
5,87,not allowed
5,88,allowed
5,89,allowed
5,90,allowed
5,91,allowed
5,92,allowed
5,93,not allowed
5,94,not allowed
5,95,not allowed
5,96,allowed
5,97,not allowed
5,98,not allowed
5,99,allowed
5,100,not allowed
6,1,allowed
6,2,allowed
6,3,allowed
6,4,allowed
6,5,allowed
6,6,allowed
6,7,allowed
6,8,allowed
6,9,allowed
6,10,allowed
6,11,allowed
6,12,not allowed
6,13,allowed
6,14,allowed
6,15,allowed
6,16,allowed
6,17,allowed
6,18,allowed
6,19,not allowed
6,20,allowed
6,21,allowed
6,22,allowed
6,23,allowed
6,24,allowed
6,25,allowed
6,26,allowed
6,27,allowed
6,28,allowed
6,29,allowed
6,30,allowed
6,31,allowed
6,32,allowed
6,33,allowed
6,34,allowed
6,35,allowed
6,36,allowed
6,37,allowed
6,38,allowed
6,39,allowed
6,40,allowed
6,41,allowed
6,42,allowed
6,43,allowed
6,44,allowed
6,45,allowed
6,46,not allowed
6,47,allowed
6,48,allowed
6,49,allowed
6,50,allowed
6,51,allowed
6,52,allowed
6,53,not allowed
6,54,allowed
6,55,allowed
6,56,not allowed
6,57,not allowed
6,58,allowed
6,59,not allowed
6,60,allowed
6,61,not allowed
6,62,allowed
6,63,allowed
6,64,allowed
6,65,allowed
6,66,allowed
6,67,allowed
6,68,allowed
6,69,allowed
6,70,allowed
6,71,allowed
6,72,allowed
6,73,allowed
6,74,allowed
6,75,allowed
6,76,allowed
6,77,not allowed
6,78,not allowed
6,79,not allowed
6,80,allowed
6,81,not allowed
6,82,allowed
6,83,allowed
6,84,allowed
6,85,allowed
6,86,allowed
6,87,not allowed
6,88,allowed
6,89,allowed
6,90,allowed
6,91,allowed
6,92,allowed
6,93,not allowed
6,94,not allowed
6,95,not allowed
6,96,allowed
6,97,not allowed
6,98,not allowed
6,99,allowed
6,100,not allowed
7,1,allowed
7,2,allowed
7,3,allowed
7,4,allowed
7,5,allowed
7,6,allowed
7,7,allowed
7,8,allowed
7,9,allowed
7,10,allowed
7,11,allowed
7,12,not allowed
7,13,allowed
7,14,allowed
7,15,allowed
7,16,allowed
7,17,allowed
7,18,allowed
7,19,not allowed
7,20,allowed
7,21,allowed
7,22,allowed
7,23,allowed
7,24,allowed
7,25,allowed
7,26,allowed
7,27,allowed
7,28,allowed
7,29,allowed
7,30,allowed
7,31,allowed
7,32,allowed
7,33,allowed
7,34,allowed
7,35,allowed
7,36,allowed
7,37,allowed
7,38,allowed
7,39,allowed
7,40,allowed
7,41,allowed
7,42,allowed
7,43,allowed
7,44,allowed
7,45,allowed
7,46,not allowed
7,47,allowed
7,48,allowed
7,49,allowed
7,50,allowed
7,51,allowed
7,52,allowed
7,53,not allowed
7,54,allowed
7,55,allowed
7,56,not allowed
7,57,not allowed
7,58,allowed
7,59,not allowed
7,60,allowed
7,61,not allowed
7,62,allowed
7,63,allowed
7,64,allowed
7,65,allowed
7,66,allowed
7,67,allowed
7,68,allowed
7,69,allowed
7,70,allowed
7,71,allowed
7,72,allowed
7,73,allowed
7,74,allowed
7,75,allowed
7,76,allowed
7,77,not allowed
7,78,not allowed
7,79,not allowed
7,80,allowed
7,81,not allowed
7,82,allowed
7,83,allowed
7,84,allowed
7,85,allowed
7,86,allowed
7,87,not allowed
7,88,allowed
7,89,allowed
7,90,allowed
7,91,allowed
7,92,allowed
7,93,not allowed
7,94,not allowed
7,95,not allowed
7,96,allowed
7,97,not allowed
7,98,not allowed
7,99,allowed
7,100,not allowed
